"","code","location","year","x"
"1","paste(""Dissolved oxygen / mg "", L^-1)","Bages","2002",10.6111111111111
"2","paste(""Water temperature / "", ~degree, ""C"")","Bages","2002",21.9111111111111
"3","paste(""Dissolved oxygen / mg "", L^-1)","Mauguio","2002",9.41666666666667
"4","paste(""Water temperature / "", ~degree, ""C"")","Mauguio","2002",22.8525641025641
"5","paste(""Dissolved oxygen / mg "", L^-1)","Salses","2002",8.94444444444444
"6","paste(""Water temperature / "", ~degree, ""C"")","Salses","2002",22.4444444444444
"7","paste(""Dissolved oxygen / mg "", L^-1)","Thau","2002",8.30833333333333
"8","paste(""Water temperature / "", ~degree, ""C"")","Thau","2002",22.625
"9","paste(""Dissolved oxygen / mg "", L^-1)","Bages","2003",7.62222222222222
"10","paste(""Water temperature / "", ~degree, ""C"")","Bages","2003",26.1777777777778
"11","paste(""Dissolved oxygen / mg "", L^-1)","Mauguio","2003",8.00144927536232
"12","paste(""Water temperature / "", ~degree, ""C"")","Mauguio","2003",26.6613636363636
"13","paste(""Dissolved oxygen / mg "", L^-1)","Salses","2003",8.93333333333333
"14","paste(""Water temperature / "", ~degree, ""C"")","Salses","2003",24.9363636363636
"15","paste(""Dissolved oxygen / mg "", L^-1)","Thau","2003",7.58636363636364
"16","paste(""Water temperature / "", ~degree, ""C"")","Thau","2003",27.0185185185185
"17","paste(""Dissolved oxygen / mg "", L^-1)","Bages","2004",11.0444444444444
"18","paste(""Water temperature / "", ~degree, ""C"")","Bages","2004",23.2111111111111
"19","paste(""Dissolved oxygen / mg "", L^-1)","Mauguio","2004",9.59253731343284
"20","paste(""Water temperature / "", ~degree, ""C"")","Mauguio","2004",24.0552941176471
"21","paste(""Dissolved oxygen / mg "", L^-1)","Salses","2004",9.82222222222222
"22","paste(""Water temperature / "", ~degree, ""C"")","Salses","2004",22.1272727272727
"23","paste(""Dissolved oxygen / mg "", L^-1)","Thau","2004",8.964
"24","paste(""Water temperature / "", ~degree, ""C"")","Thau","2004",23.2703703703704
"25","paste(""Dissolved oxygen / mg "", L^-1)","Bages","2005",8.8
"26","paste(""Water temperature / "", ~degree, ""C"")","Bages","2005",23.7777777777778
"27","paste(""Water temperature / "", ~degree, ""C"")","Mauguio","2005",23.677380952381
"28","paste(""Water temperature / "", ~degree, ""C"")","Salses","2005",22.8121951219512
"29","paste(""Water temperature / "", ~degree, ""C"")","Thau","2005",22.9348484848485
"30","paste(""Dissolved oxygen / mg "", L^-1)","Bages","2006",8.9875
"31","paste(""Water temperature / "", ~degree, ""C"")","Bages","2006",22.3555555555556
"32","paste(""Dissolved oxygen / mg "", L^-1)","Mauguio","2006",7.28059701492537
"33","paste(""Water temperature / "", ~degree, ""C"")","Mauguio","2006",24.956976744186
"34","paste(""Dissolved oxygen / mg "", L^-1)","Salses","2006",9.35555555555556
"35","paste(""Water temperature / "", ~degree, ""C"")","Salses","2006",23.6666666666667
"36","paste(""Dissolved oxygen / mg "", L^-1)","Thau","2006",5.91481481481481
"37","paste(""Water temperature / "", ~degree, ""C"")","Thau","2006",24.6272727272727
"38","paste(""Dissolved oxygen / mg "", L^-1)","Bages","2007",7.93333333333333
"39","paste(""Water temperature / "", ~degree, ""C"")","Bages","2007",23.4666666666667
"40","paste(""Dissolved oxygen / mg "", L^-1)","Mauguio","2007",6.84358974358974
"41","paste(""Water temperature / "", ~degree, ""C"")","Mauguio","2007",23.089552238806
"42","paste(""Dissolved oxygen / mg "", L^-1)","Salses","2007",7.43823529411765
"43","paste(""Water temperature / "", ~degree, ""C"")","Salses","2007",22.3545454545455
"44","paste(""Dissolved oxygen / mg "", L^-1)","Thau","2007",7.57948717948718
"45","paste(""Water temperature / "", ~degree, ""C"")","Thau","2007",22.7526315789474
"46","paste(""Dissolved oxygen / mg "", L^-1)","Bages","2008",10.0555555555556
"47","paste(""Water temperature / "", ~degree, ""C"")","Bages","2008",21.8888888888889
"48","paste(""Dissolved oxygen / mg "", L^-1)","Mauguio","2008",7.40425531914894
"49","paste(""Water temperature / "", ~degree, ""C"")","Mauguio","2008",22.4986842105263
"50","paste(""Dissolved oxygen / mg "", L^-1)","Salses","2008",8.06296296296296
"51","paste(""Water temperature / "", ~degree, ""C"")","Salses","2008",22.5173913043478
"52","paste(""Dissolved oxygen / mg "", L^-1)","Thau","2008",8
"53","paste(""Water temperature / "", ~degree, ""C"")","Thau","2008",22.7491228070175
"54","paste(""Dissolved oxygen / mg "", L^-1)","Bages","2009",9.07777777777778
"55","paste(""Water temperature / "", ~degree, ""C"")","Bages","2009",24.2222222222222
"56","paste(""Dissolved oxygen / mg "", L^-1)","Mauguio","2009",8.17058823529412
"57","paste(""Water temperature / "", ~degree, ""C"")","Mauguio","2009",24.4573333333333
"58","paste(""Dissolved oxygen / mg "", L^-1)","Salses","2009",7.828125
"59","paste(""Water temperature / "", ~degree, ""C"")","Salses","2009",23.5039215686275
"60","paste(""Dissolved oxygen / mg "", L^-1)","Thau","2009",6.59230769230769
"61","paste(""Water temperature / "", ~degree, ""C"")","Thau","2009",24.5966101694915
"62","paste(""Dissolved oxygen / mg "", L^-1)","Bages","2010",7.41111111111111
"63","paste(""Water temperature / "", ~degree, ""C"")","Bages","2010",23.2444444444444
"64","paste(""Dissolved oxygen / mg "", L^-1)","Mauguio","2010",7.39019607843137
"65","paste(""Water temperature / "", ~degree, ""C"")","Mauguio","2010",23.4287671232877
"66","paste(""Dissolved oxygen / mg "", L^-1)","Salses","2010",6.99473684210526
"67","paste(""Water temperature / "", ~degree, ""C"")","Salses","2010",22.9272727272727
"68","paste(""Dissolved oxygen / mg "", L^-1)","Thau","2010",6.56176470588235
"69","paste(""Water temperature / "", ~degree, ""C"")","Thau","2010",23.345
"70","paste(""Dissolved oxygen / mg "", L^-1)","Bages","2011",8.04444444444444
"71","paste(""Water temperature / "", ~degree, ""C"")","Bages","2011",22.3888888888889
"72","paste(""Dissolved oxygen / mg "", L^-1)","Mauguio","2011",7.15
"73","paste(""Water temperature / "", ~degree, ""C"")","Mauguio","2011",23.4445945945946
"74","paste(""Dissolved oxygen / mg "", L^-1)","Salses","2011",8.0625
"75","paste(""Water temperature / "", ~degree, ""C"")","Salses","2011",22.4463414634146
"76","paste(""Dissolved oxygen / mg "", L^-1)","Thau","2011",6.16285714285714
"77","paste(""Water temperature / "", ~degree, ""C"")","Thau","2011",23.0035087719298
"78","paste(""Dissolved oxygen / mg "", L^-1)","Bages","2012",7.34444444444444
"79","paste(""Water temperature / "", ~degree, ""C"")","Bages","2012",23.1111111111111
"80","paste(""Dissolved oxygen / mg "", L^-1)","Mauguio","2012",6.876
"81","paste(""Water temperature / "", ~degree, ""C"")","Mauguio","2012",24.2597222222222
"82","paste(""Dissolved oxygen / mg "", L^-1)","Salses","2012",6.97222222222222
"83","paste(""Water temperature / "", ~degree, ""C"")","Salses","2012",23.08
"84","paste(""Dissolved oxygen / mg "", L^-1)","Thau","2012",7.46666666666667
"85","paste(""Water temperature / "", ~degree, ""C"")","Thau","2012",23.8517857142857
